date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:39	4885/4885	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202017%2003:12:39%20GMT	http://icsse2017.hcmute.edu.vn/Services/PortletProxy.asmx/jsdebug	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Services/PortletProxy.asmx/jsdebug.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:59	13821/13821	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202017%2003:13:02%20GMT	http://icsse2017.hcmute.edu.vn/Services/CMS.asmx/jsdebug	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Services/CMS.asmx/jsdebug.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:59	5626/5626	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202017%2003:13:02%20GMT	http://icsse2017.hcmute.edu.vn/Services/WeatherService.asmx/jsdebug	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Services/WeatherService.asmx/jsdebug.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:59	9673/9673	---M-Z	200	added ('OK')	text/css	etag:%228027d3cd57e8cf1:0%22	http://icsse2017.hcmute.edu.vn/Resources/ImagesPortal/PhongBan/main.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/ImagesPortal/PhongBan/main.css	(from http://icsse2017.hcmute.edu.vn/)
10:12:59	6501/6501	---M-Z	200	added ('OK')	text/css	etag:%2280ee6d2b6768d11:0%22	http://icsse2017.hcmute.edu.vn/CSS/mainPortlets.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/CSS/mainPortlets.css	(from http://icsse2017.hcmute.edu.vn/)
10:13:01	2074/2074	---M-Z	200	added ('OK')	text/css	etag:%2298dd62c6768d11:0%22	http://icsse2017.hcmute.edu.vn/Portlets/NivoSlider/CSS/nivo-slider.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Portlets/NivoSlider/CSS/nivo-slider.css	(from http://icsse2017.hcmute.edu.vn/)
10:13:01	2180/2180	---M-Z	200	added ('OK')	text/css	etag:%2298dd62c6768d11:0%22	http://icsse2017.hcmute.edu.vn/Portlets/NivoSlider/CSS/themes/default/default.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Portlets/NivoSlider/CSS/themes/default/default.css	(from http://icsse2017.hcmute.edu.vn/)
10:13:01	29961/29961	---M-Z	200	added ('OK')	application/x-javascript	etag:%22801b9f2c6768d11:0%22	http://icsse2017.hcmute.edu.vn/Portlets/NivoSlider/Scripts/jquery.nivo.slider.js	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Portlets/NivoSlider/Scripts/jquery.nivo.slider.js	(from http://icsse2017.hcmute.edu.vn/)
10:13:20	173421/173421	---M--	200	added ('OK')	image/jpeg	etag:%220a5ddf564dd21:0%22	http://icsse2017.hcmute.edu.vn/Resources/Images/SubDomain/icsse2017/Banner%20Hoi%20nghi%20quoc%20te%20sua.jpg	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/Images/SubDomain/icsse2017/Banner%20Hoi%20nghi%20quoc%20te%20sua.jpg	(from http://icsse2017.hcmute.edu.vn/)
10:13:21	3238/3238	---M-Z	200	added ('OK')	text/css	etag:%22092e921246d21:0%22	http://icsse2017.hcmute.edu.vn/Portlets/MenuRad/Menu.Green.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Portlets/MenuRad/Menu.Green.css	(from http://icsse2017.hcmute.edu.vn/)
10:13:23	141687/141687	---M--	200	added ('OK')	image/jpeg	etag:%22682076b8fc3d21:0%22	http://icsse2017.hcmute.edu.vn/Resources/imagesPortlet/e28a24d5-befe-4213-a3d5-2e1ebcb2a71e/HNQT3.jpg	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/imagesPortlet/e28a24d5-befe-4213-a3d5-2e1ebcb2a71e/HNQT3.jpg	(from http://icsse2017.hcmute.edu.vn/)
10:13:24	31863/31863	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:26%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?PageId=8cb7e0c5-10f3-438b-8881-a74c24b373e3	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Default71a5.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:24	1233/1233	---M--	403	error ('Forbidden')	text/html	date:Tue,%2021%20Mar%202017%2003:13:27%20GMT	http://icsse2017.hcmute.edu.vn/Portlets/MenuRad/	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Portlets/MenuRad/index.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:27	79819/79819	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:30%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?ArticleId=f9111384-c9ad-46ac-ba10-037bf3d691a4	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Default50b6.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:28	179749/179749	---M--	200	added ('OK')	image/jpeg	etag:%22edb51eb2fc3d21:0%22	http://icsse2017.hcmute.edu.vn/Resources/imagesPortlet/e28a24d5-befe-4213-a3d5-2e1ebcb2a71e/HNQT1.jpg	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/imagesPortlet/e28a24d5-befe-4213-a3d5-2e1ebcb2a71e/HNQT1.jpg	(from http://icsse2017.hcmute.edu.vn/)
10:13:29	198390/198390	---M--	200	added ('OK')	image/jpeg	etag:%22cc145bb5fc3d21:0%22	http://icsse2017.hcmute.edu.vn/Resources/imagesPortlet/e28a24d5-befe-4213-a3d5-2e1ebcb2a71e/HNQT2.jpg	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/imagesPortlet/e28a24d5-befe-4213-a3d5-2e1ebcb2a71e/HNQT2.jpg	(from http://icsse2017.hcmute.edu.vn/)
10:13:44	83526/83526	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:47%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?ArticleId=dd21088d-cb55-4f9d-ac9c-73553c715cae	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Default816d.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:46	84739/84739	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:48%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?ArticleId=fc8c1223-a9d2-46b5-9db3-665c778f0ac9	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Default789b.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:47	100739/100739	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:50%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?ArticleId=945864b5-165f-45a3-8e75-a9ba5ac1f9ef	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Defaultd478.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:49	87937/87937	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:52%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?ArticleId=707e0e24-5220-4821-a40f-4041eb76cc1a	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Defaulta8ef.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:51	89315/89315	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:53%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?ArticleId=be204435-0615-4fc3-aa86-392d871decc8	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Default6b73.html	(from http://icsse2017.hcmute.edu.vn/)
10:13:52	94864/94864	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:13:55%20GMT	http://icsse2017.hcmute.edu.vn/Default.aspx?ArticleId=242b6486-aeb4-472f-b74f-779069bbd957	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Default26a6.html	(from http://icsse2017.hcmute.edu.vn/)
